<<<<<<< HEAD
drop DT
in DT
the DT
Dow NNP 
Jones NNP 
Industrial DT
Average DT
. . 
 OOV
`` `` 
When WRB 
you PRP 
get DT
panic DT
in DT
one DT
market DT
, , 
you PRP 
get DT
flight NN 
to TO 
quality DT
in DT
the DT
other JJ 
, , 
'' '' 
said DT
Maria NNP 
Ramirez NNP 
, , 
money NN 
market DT
economist NN 
at DT
Drexel NNP 
Burnham NNP 
Lambert NNP 
Inc NNP 
. . 
 OOV
Nevertheless RB 
, , 
the DT
problems NNS 
of DT
the DT
junk DT
market DT
could MD 
prompt DT
the DT
Federal DT
Reserve NNP 
to TO 
ease DT
credit DT
in DT
the DT
months NNS 
ahead DT
. . 
 OOV
`` `` 
This DT
marks DT
a DT
significant JJ 
shift DT
in DT
the DT
interest DT
rate DT
outlook NN 
, , 
'' '' 
says VBZ 
William NNP 
Sullivan NNP 
, , 
director NN 
of DT
money NN 
market DT
research DT
at DT
Dean NNP 
Witter NNP 
Reynolds NNP 
Inc. DT
, , 
New DT
York NNP 
. . 
 OOV
Any DT 
sustained DT
credit-easing DT
could MD 
be DT
a DT
lift DT
for DT
junk DT
bonds NNS 
as DT
well DT
as DT
other JJ 
securities NNS 
. . 
 OOV
Robert NNP 
Dow NNP 
, , 
a DT
partner NN 
and DT
portfolio NN 
manager NN 
at DT
Lord NNP 
, , 
Abbett OOV
& DT
Co. DT
, , 
which WDT 
manages VBZ 
$ $ 
4 DT
billion CD 
of DT
high-yield DT
bonds NNS 
, , 
says VBZ 
he PRP 
does VBZ 
n't RB 
`` `` 
think DT
there DT
is DT
any DT
fundamental JJ 
economic JJ 
rationale NN 
{ ( 
for DT
the DT
junk DT
bond NN 
rout NN 
} ) 
. . 
 OOV
It PRP 
was VBD 
herd NN 
instinct NN 
. . 
'' '' 
 OOV
He PRP 
adds VBZ 
: : 
`` `` 
The DT
junk DT
market DT
has DT
witnessed VBN 
some DT
trouble NN 
and DT
now DT
some DT
people DT
think DT
that DT
if IN 
the DT
equity NN 
market DT
gets VBZ 
creamed OOV
that DT
means DT
the DT
economy NN 
will DT
be DT
terrible JJ 
and DT
that DT
's DT
bad DT
for DT
junk DT
. . 
 OOV
I DT
do DT
n't RB 
believe DT
that DT
's DT
the DT
case NN 
, , 
but DT
I DT
believe DT
that DT
people DT
are DT
running DT
scared DT
. . 
 OOV
There DT
is DT
a DT
flight NN 
to TO 
quality DT
, , 
and DT
the DT
quality DT
is DT
not RB 
in DT
equities NNS 
and DT
not RB 
in DT
junk DT
-- : 
it PRP 
's DT
in DT
Treasurys DT
. . 
'' '' 
 OOV
Even DT
as DT
trading DT
in DT
high-yield DT
issues DT
dried DT
up DT
over DT
the DT
past DT
month NN 
, , 
corporations NNS 
sold DT
more DT
than DT
$ $ 
2 DT
billion CD 
of DT
new JJ 
junk DT
bonds NNS 
. . 
 OOV
For IN 
example NN 
, , 
a DT
recent JJ 
$ $ 
375 CD 
million CD 
offering DT
of DT
Petrolane NNP 
Gas DT
Services DT
L.P. DT
bonds NNS 
sold DT
by DT
First DT
Boston NNP 
was VBD 
three CD 
times DT
oversubscribed DT
. . 
 OOV
A DT
$ $ 
550 CD 
million CD 
offering DT
of DT
Turner NNP 
Broadcasting NNP 
System DT
Inc NNP 
. . 
high-yield DT
securities NNS 
sold DT
last DT
week NN 
by DT
Drexel NNP 
was VBD 
increased DT
$ $ 
50 CD 
million CD 
because DT
of DT
strong DT
demand DT
. . 
 OOV
First DT
Boston NNP 
estimates DT
that DT
in DT
November NNP 
and DT
December NNP 
alone DT
, , 
junk DT
bond NN 
investors NNS 
will DT
receive DT
$ $ 
4.8 CD 
billion CD 
of DT
coupon NN 
interest DT
payments NNS 
. . 
 OOV
`` `` 
That DT
's DT
a DT
clear DT
indication NN 
that DT
there DT
is DT
and DT
will DT
be DT
an DT
undercurrent NN 
of DT
basic DT
business NN 
going DT
on DT
, , 
'' '' 
says VBZ 
Mr. NNP 
Carleton OOV
of DT
First DT
Boston NNP 
. . 
 OOV
`` `` 
I DT
do DT
n't RB 
know DT
how WRB 
people DT
can DT
say DT
the DT
junk DT
bond NN 
market DT
disappeared DT
when WRB 
there DT
were VBD 
$ $ 
1.5 CD 
billion CD 
of DT
orders NNS 
for DT
$ $ 
550 CD 
million CD 
of DT
junk DT
bonds NNS 
sold DT
last DT
week NN 
by DT
Turner NNP 
, , 
'' '' 
says VBZ 
Raymond NNP 
Minella NNP 
, , 
co-head NN 
of DT
merchant NN 
banking DT
at DT
Merrill DT
Lynch NNP 
& DT
Co NNP 
. . 
 OOV
`` `` 
When WRB 
the DT
rally DT
comes VBZ 
, , 
insurance NN 
companies NNS 
will DT
be DT
leading DT
it PRP 
because DT
they PRP 
have DT
billions NNS 
to TO 
invest DT
and DT
invest DT
they PRP 
will DT
. . 
 OOV
There DT
is DT
plenty DT
of DT
money NN 
available JJ 
from IN 
people DT
who WP 
want DT
to TO 
buy DT
well-structured OOV
deals DT
; : 
it PRP 
's DT
the DT
stuff DT
that DT
's DT
financed VBN 
on DT
a DT
shoestring NN 
that DT
people DT
are DT
wary JJ 
of DT
. . 
'' '' 
 OOV
But DT
such DT
highly RB 
leveraged DT
transactions NNS 
seemed DT
to TO 
have DT
multiplied VBN 
this DT
year NN 
, , 
casting DT
a DT
pall NN 
over DT
much DT
of DT
the DT
junk DT
market DT
. . 
 OOV
Michael NNP 
McNamara NNP 
, , 
director NN 
of DT
fixed-income DT
research DT
at DT
Kemper NNP 
Financial DT
Services DT
, , 
says VBZ 
the DT
quality DT
of DT
junk DT
issues DT
has DT
been VBN 
getting VBG 
poorer JJR 
, , 
contributing DT
to TO 
the DT
slide DT
in DT
prices NNS 
. . 
 OOV
`` `` 
Last JJ 
year NN 
we DT
probably RB 
bought DT
one DT
out DT
of DT
every DT 
three CD 
new JJ 
deals DT
, , 
'' '' 
he PRP 
says VBZ 
. . 
 OOV
`` `` 
This DT
year NN 
, , 
at DT
best DT
, , 
it PRP 
's DT
in DT
one DT
in DT
every DT 
five CD 
or CC 
six CD 
. . 
 OOV
And CC 
our PRP$ 
credit DT
standards NNS 
have DT
n't RB 
changed DT
one DT
iota OOV
. . 
'' '' 
 OOV
However DT
, , 
Mr. NNP 
McNamara NNP 
said DT
the DT
slide DT
in DT
junk DT
is DT
creating VBG 
`` `` 
one DT
hell NN 
of DT
a DT
buying DT
opportunity NN 
'' '' 
for DT
selective JJ 
buyers NNS 
. . 
 OOV
For IN 
the DT
moment NN 
, , 
investors NNS 
seem DT
more DT
preoccupied VBN 
with DT
the DT
`` `` 
bad DT
'' '' 
junk DT
than DT
the DT
`` `` 
good DT
'' '' 
junk DT
. . 
 OOV
`` `` 
The DT
market DT
has DT
been VBN 
weak JJ 
since DT
'' '' 
the DT
announcement NN 
of DT
the DT
Campeau DT
cash DT
squeeze DT
and DT
the DT
company NN 
's DT
subsequent JJ 
bailout NN 
by DT
Olympia NNP 
& DT
York NNP 
, , 
says VBZ 
Mr. NNP 
Minella NNP 
of DT
Merrill DT
Lynch NNP 
. . 
 OOV
`` `` 
That DT
really RB 
affected DT
the DT
market DT
in DT
that DT
people DT
started DT
to TO 
ask DT
` `` 
What DT
else DT
is DT
in DT
trouble NN 
? . 
' DT
'' '' 
 OOV
Well DT
before DT
Campeau DT
, , 
though DT
, , 
there DT
were VBD 
signs NNS 
that DT
the DT
junk DT
market DT
was VBD 
stumbling DT
through DT
one DT
of DT
its PRP$ 
worst JJS 
years NNS 
ever RB 
. . 
 OOV
Despite IN 
the DT
relatively RB 
strong DT
economy NN 
, , 
junk DT
bond NN 
prices NNS 
did VBD 
nothing NN 
except DT
go DT
down DT
, , 
hammered VBN 
by DT
a DT
seemingly RB 
endless JJ 
trail DT
of DT
bad DT
news NN 
: : 
 OOV
-- : 
In DT
June NNP 
, , 
two CD 
months NNS 
before DT
it PRP 
would MD 
default DT
on DT
interest DT
payments NNS 
covering DT
some DT
of DT
its PRP$ 
$ $ 
1.2 CD 
billion CD 
of DT
speculative JJ 
debt NN 
securities NNS 
, , 
New DT
York-based JJ 
Integrated NNP 
Resources DT
Inc. DT
said DT
it PRP 
ran VBD 
out DT
of DT
borrowed DT
money NN 
. . 
 OOV
-- : 
In DT
July NNP 
, , 
Southmark NNP 
Corp. DT
, , 
the DT
Dallas-based JJ 
real DT
estate NN 
and DT
financial JJ 
services DT
company NN 
with DT
about DT
$ $ 
1.3 CD 
billion CD 
of DT
junk DT
bonds NNS 
, , 
voluntarily RB 
filed DT
for DT
protection NN 
under DT
U.S. DT
bankruptcy NN 
law NN 
. . 
 OOV
-- : 
By DT
the DT
end DT
of DT
July NNP 
, , 
the DT
difference NN 
in DT
yield DT
between IN 
an DT
index NN 
of DT
junk DT
bonds NNS 
and DT
seven-year JJ 
Treasury DT
notes DT
widened DT
to TO 
more DT
than DT
5.5 CD 
percentage NN 
points DT
. . 
 OOV
-- : 
In DT
August NNP 
, , 
Resorts DT
International DT
Inc. DT
, , 
which WDT 
sold DT
more DT
than DT
$ $ 
500 CD 
million CD 
of DT
junk DT
bonds NNS 
, , 
suspended DT
interest DT
payments NNS 
. . 
 OOV
-- : 
In DT
September NNP 
, , 
just DT
as DT
the DT
cash DT
squeeze DT
hit DT
Campeau DT
, , 
Lomas NNP 
Financial DT
Corp. DT
defaulted DT
on DT
$ $ 
145 CD 
million CD 
of DT
notes DT
and DT
appeared DT
unlikely DT
to TO 
pay DT
interest DT
on DT
a DT
total DT
of DT
$ $ 
1.2 CD 
billion CD 
of DT
debt NN 
securities NNS 
. . 
 OOV
Meantime RB 
, , 
regulators DT
are DT
becoming VBG 
increasingly RB 
worried DT
as DT
the DT
rush DT
to TO 
leverage NN 
shows DT
no DT
signs NNS 
of DT
abating VBG 
. . 
 OOV
Moody DT
's DT
says VBZ 
the DT
frequency NN 
of DT
corporate JJ 
credit DT
downgrades NNS 
is DT
the DT
highest DT
this DT
year NN 
since DT
1982 CD 
. . 
 OOV
In DT
addition NN 
, , 
there DT
are DT
six CD 
times DT
as DT
many DT
troubled DT
banks NNS 
as DT
there DT
were VBD 
in DT
the DT
recession NN 
of DT
1981 CD 
, , 
according VBG 
to TO 
the DT
Federal DT
Deposit NNP 
Insurance DT
Corp NNP 
. . 
 OOV
`` `` 
The DT
era NN 
of DT
the DT
1980s DT
is DT
about DT
compound DT
interest DT
and DT
the DT
reaching VBG 
for DT
it PRP 
, , 
'' '' 
says VBZ 
James NNP 
Grant NNP 
, , 
editor NN 
of DT
Grant NNP 
's DT
Interest DT
Rate DT
Observer NNP 
, , 
an DT
early DT
critic NN 
of DT
the DT
junk DT
bond NN 
market DT
. . 
 OOV
`` `` 
What DT
we DT
've DT
begun VBN 
to TO 
see DT
is DT
the DT
damage DT
to TO 
businesses NNS 
of DT
paying DT
exorbitant JJ 
compound DT
interest DT
. . 
 OOV
Businesses NNS 
were VBD 
borrowing DT
at DT
interest DT
rates DT
higher DT
than DT
their PRP$ 
own DT
earnings DT
. . 
 OOV
What DT
we DT
're VBP 
seeing VBG 
now DT
is DT
the DT
wrenching OOV
readjustment OOV
of DT
asset NN 
values DT
to TO 
a DT
future DT
when WRB 
speculative-grade OOV
debt NN 
will DT
be DT
hard DT
to TO 
obtain DT
rather RB 
than DT
easy DT
. . 
'' '' 
 OOV
Friday NNP 
's DT
Market DT
Activity DT
 OOV
Prices NNS 
of DT
Treasury DT
bonds NNS 
surged DT
in DT
the DT
biggest JJS 
rally DT
of DT
the DT
year NN 
as DT
investors NNS 
fled DT
a DT
plummeting VBG 
stock DT
market DT
. . 
 OOV
The DT
benchmark DT
30-year DT
Treasury DT
bond NN 
was VBD 
quoted DT
6 CD 
p.m. DT
EDT NNP 
at DT
103 CD 
12\/32 CD 
, , 
compared DT
with DT
100 CD 
27\/32 CD 
Thursday NNP 
, , 
up DT
2 DT
1\/2 CD 
points DT
. . 
 OOV
The DT
yield DT
on DT
the DT
benchmark DT
fell DT
to TO 
7.82 CD 
% DT
, , 
the DT
lowest JJS 
since DT
March NNP 
31 CD 
, , 
1987 CD 
, , 
according VBG 
to TO 
Technical NNP 
Data DT
Global DT
Markets DT
Group NNP 
. . 
 OOV
The DT
`` `` 
flight NN 
to TO 
quality DT
'' '' 
began VBD 
late DT
in DT
the DT
day NN 
and DT
followed DT
a DT
precipitous JJ 
fall DT
in DT
the DT
stock DT
market DT
. . 
 OOV
Treasurys DT
opened DT
lower DT
, , 
reacting VBG 
negatively RB 
to TO 
news NN 
that DT
the DT
producer NN 
price DT
index NN 
-- : 
a DT
measure DT
of DT
inflation NN 
on DT
the DT
wholesale JJ 
level DT
-- : 
accelerated DT
in DT
September NNP 
. . 
 OOV
Bond DT
prices NNS 
barely RB 
budged VBN 
until IN 
midday NN 
. . 
 OOV
Many DT
bond NN 
market DT
participants NNS 
will DT
be DT
closely RB 
eying OOV
the DT
action NN 
of DT
the DT
Federal DT
Reserve NNP 
, , 
which WDT 
might DT
repeat DT
its PRP$ 
October NNP 
1987 CD 
injection NN 
of DT
huge JJ 
amounts DT
of DT
liquidity NN 
to TO 
buoy VB 
the DT
financial JJ 
markets DT
and DT
keep DT
the DT
economy NN 
from IN 
slowing DT
into IN 
a DT
recession NN 
. . 
 OOV
Prices NNS 
of DT
municipals NNS 
, , 
investment-grade JJ 
corporates NNS 
and DT
mortgage-backed JJ 
bonds NNS 
also RB 
rose DT
, , 
but DT
lagged DT
behind DT
their PRP$ 
Treasury DT
counterparts NNS 
. . 
 OOV
Mortgage DT
securities NNS 
rose DT
in DT
hectic JJ 
trading DT
, , 
with DT
most DT
of DT
the DT
activity NN 
concentrated DT
in DT
Government DT
National DT
Mortgage DT
Association DT
9 CD 
% DT
coupon NN 
securities NNS 
, , 
the DT
most DT
liquid DT
mortgage DT
issue DT
. . 
 OOV
The DT
Ginnie NNP 
Mae NNP 
November NNP 
9 CD 
% DT
issue DT
ended DT
at DT
98 CD 
25\/32 CD 
, , 
up DT
7\/8 CD 
point DT
on DT
the DT
day NN 
, , 
to TO 
yield DT
about DT
9.28 OOV
% DT
to TO 
a DT
12-year JJ 
average DT
life NN 
assumption NN 
. . 
 OOV
Investment-grade JJ 
corporate JJ 
bonds NNS 
were VBD 
up DT
about DT
1\/2 CD 
to TO 
3\/4 CD 
point DT
. . 
 OOV
But DT
the DT
yield DT
spread DT
between IN 
lower-quality JJR 
, , 
investment-grade JJ 
issues DT
and DT
higher-quality OOV
bonds NNS 
widened DT
. . 
 OOV
And CC 
the DT
yields DT
on DT
telephone NN 
and DT
utility NN 
issues DT
rose DT
relative DT
to TO 
other JJ 
investment-grade JJ 
bonds NNS 
in DT
anticipation NN 
of DT
this DT
week NN 
's DT
$ $ 
3 DT
billion CD 
bond NN 
offering DT
by DT
the DT
Tennessee NNP 
Valley NNP 
Authority NNP 
. . 
 OOV
Despite IN 
rumors DT
that DT
the DT
TVA NNP 
's DT
long-awaited JJ 
offering DT
would MD 
be DT
postponed DT
because DT
of DT
the DT
debacle NN 
in DT
the DT
equity NN 
markets DT
, , 
sources NNS 
in DT
the DT
underwriting DT
syndicate NN 
said DT
they PRP 
expect DT
the DT
issue DT
will DT
be DT
priced DT
as DT
scheduled DT
. . 
 OOV
One DT
of DT
the DT
sources NNS 
said DT
the DT
smaller JJR 
portions NNS 
of DT
$ $ 
750 CD 
million CD 
each DT 
of DT
five-year JJ 
and DT
10-year JJ 
bonds NNS 
have DT
already RB 
been VBN 
`` `` 
substantially RB 
oversubscribed DT
. . 
'' '' 
 OOV
Municipal DT
bonds NNS 
rose DT
as DT
much DT
as DT
3\/4 CD 
point DT
. . 
 OOV
Roger NNP 
Lowenstein OOV
contributed DT
to TO 
this DT
article NN 
. . 
 OOV
Friday NNP 
's DT
190-point DT
plunge DT
in DT
stocks DT
does VBZ 
not RB 
come DT
atop IN 
the DT
climate NN 
of DT
anxiety NN 
that DT
dominated DT
financial JJ 
markets DT
just DT
prior DT
to TO 
their PRP$ 
1987 CD 
October NNP 
crash DT
, , 
and DT
mechanisms NNS 
have DT
been VBN 
put DT
in DT
place DT
to TO 
keep DT
markets DT
more DT
orderly JJ 
. . 
 OOV
Still RB 
, , 
the DT
lesson NN 
is DT
about DT
the DT
same JJ 
: : 
On DT
Friday NNP 
the DT
13th DT
, , 
the DT
market DT
was VBD 
spooked DT
by DT
Washington NNP 
. . 
 OOV
The DT
consensus NN 
along DT
the DT
street NN 
seems VBZ 
to TO 
be DT
that DT
the DT
plunge DT
was VBD 
triggered DT
by DT
the DT
financing DT
problems NNS 
of DT
the DT
UAL NNP 
takeover NN 
, , 
and DT
it PRP 
's DT
certainly RB 
true JJ 
the DT
rout NN 
began VBD 
immediately RB 
after DT
the DT
UAL NNP 
trading DT
halt DT
. . 
 OOV
Still RB 
, , 
the DT
consensus NN 
seems VBZ 
almost RB 
as DT
wide DT
that DT
one DT
faltering VBG 
bid DT
is DT
no DT
reason DT
to TO 
write DT
down DT
the DT
value DT
of DT
all DT
U.S. DT
business NN 
. . 
 OOV
This DT
observation OOV
leads DT
us PRP 
to TO 
another DT 
piece DT
of DT
news NN 
moving DT
on DT
the DT
Dow NNP 
Jones NNP 
ticker OOV
shortly RB 
before DT
the DT
downturn NN 
: : 
the DT
success NN 
of DT
Senate NNP 
Democrats DT
in DT
stalling VBG 
the DT
capital DT
gains DT
tax DT
cut DT
. . 
 OOV
The DT
real DT
value DT
of DT
all DT
shares DT
, , 
after DT
all DT
, , 
is DT
directly RB 
impacted OOV
by DT
the DT
tax DT
on DT
any DT
profits DT
( ( 
all DT
the DT
more DT
so DT
given DT
the DT
limits DT
on DT
deductions NNS 
for DT
losses NNS 
that DT
show DT
gains DT
are DT
not RB 
`` `` 
ordinary JJ 
income NN 
'' '' 
) ) 
. . 
 OOV
And CC 
market DT
expectations NNS 
clearly RB 
have DT
been VBN 
raised DT
by DT
the DT
capital DT
gains DT
victory NN 
in DT
the DT
House DT
last DT
month NN 
. . 
 OOV
An DT
hour NN 
before DT
Friday NNP 
's DT
plunge DT
, , 
that DT
provision NN 
was VBD 
stripped DT
from IN 
the DT
tax DT
bill DT
, , 
leaving DT
it PRP 
with DT
$ $ 
5.4 CD 
billion CD 
in DT
tax DT
increases DT
without IN 
a DT
capital DT
gains DT
cut DT
. . 
 OOV
There DT
is DT
a DT
great DT
deal DT
to TO 
be DT
said DT
, , 
to TO 
be DT
sure DT
, , 
for DT
stripping VBG 
the DT
garbage NN 
out DT
of DT
the DT
reconciliation NN 
bill DT
. . 
 OOV
It PRP 
would MD 
be DT
a DT
good DT
thing NN 
if IN 
Congress NNP 
started DT
to TO 
decide DT
issues DT
one-by-one OOV
on DT
their PRP$ 
individual DT
merits NNS 
without IN 
trickery OOV
. . 
 OOV
For IN 
one DT
thing NN 
, , 
no DT
one DT
doubts DT
that DT
the DT
capital DT
gains DT
cut DT
would MD 
pass DT
on DT
an DT
up-or-down JJ 
vote DT
. . 
 OOV
Since IN 
Senate NNP 
leaders NNS 
have DT
so DT
far DT
fogged OOV
it PRP 
up DT
with DT
procedural JJ 
smokescreens OOV
, , 
promises DT
of DT
a DT
cleaner DT
bill DT
are DT
suspect DT
. . 
 OOV
Especially RB 
so DT
since DT
President DT
Bush NNP 
has DT
been VBN 
weakened DT
by DT
the DT
Panama NNP 
fiasco NN 
. . 
 OOV
To TO 
the DT
extent NN 
that DT
the DT
UAL NNP 
troubles NNS 
contributed DT
to TO 
the DT
plunge DT
, , 
they PRP 
are DT
another DT 
instance NN 
of DT
Washington NNP 
's DT
sticky OOV
fingers NNS 
. . 
 OOV
As DT
the DT
best DT
opportunities NNS 
for DT
corporate JJ 
restructurings NNS 
are DT
exhausted DT
of DT
course NN 
, , 
at DT
some DT
point DT
the DT
market DT
will DT
start DT
to TO 
reject DT
them DT
. . 
 OOV
But DT
the DT
airlines NNS 
are DT
scarcely RB 
a DT
clear DT
case NN 
, , 
given DT
anti-takeover DT
mischief NN 
by DT
Secretary NNP 
of DT
Transportation DT
Skinner NNP 
, , 
who WP 
professes VBZ 
to TO 
believe DT
safety DT
will DT
be DT
compromised VBN 
if IN 
KLM NNP 
and DT
British DT
Airways DT
own DT
interests DT
in DT
companies NNS 
that DT
fly DT
airplanes NNS 
. . 
 OOV
Worse DT
, , 
Congress NNP 
has DT
started DT
to TO 
jump DT
on DT
the DT
Skinner NNP 
bandwagon NN 
. . 
 OOV
James NNP 
Oberstar NNP 
, , 
the DT
Minnesota NNP 
Democrat NNP 
who WP 
chairs DT
the DT
Public DT
Works NNP 
and DT
Transportation DT
Committee DT
's DT
aviation NN 
subcommittee NN 
, , 
has DT
put DT
an DT
anti-airline OOV
takeover NN 
bill DT
on DT
supersonic JJ 
speed DT
so DT
that DT
it PRP 
would MD 
be DT
passed DT
in DT
time DT
to TO 
affect DT
the DT
American DT
and DT
United DT
Air DT
Lines DT
bids DT
. . 
 OOV
It PRP 
would MD 
give DT
Mr. NNP 
Skinner NNP 
up DT
to TO 
50 CD 
days DT
to TO 
`` `` 
review DT
'' '' 
any DT
bid DT
for DT
15 DT
% DT
or CC 
more DT
of DT
the DT
voting DT
stock DT
of DT
any DT
U.S. DT
carrier NN 
with DT
revenues NNS 
of DT
$ $ 
1 DT
billion CD 
or CC 
more DT
. . 
 OOV
So DT
the DT
UAL NNP 
deal DT
has DT
problems NNS 
, , 
and DT
the DT
market DT
loses VBZ 
190 CD 
points DT
. . 
 OOV
Congratulations OOV
, , 
Mr. NNP 
Secretary NNP 
and DT
Mr. NNP 
Congressman NNP 
. . 
 OOV
In DT
the DT
1987 CD 
crash DT
, , 
remember DT
, , 
the DT
market DT
was VBD 
shaken VBN 
by DT
a DT
Danny NNP 
Rostenkowski NNP 
proposal NN 
to TO 
tax DT
takeovers NNS 
out DT
of DT
existance OOV
. . 
 OOV
Even DT
more DT
important JJ 
, , 
in DT
our PRP$ 
view DT
, , 
was VBD 
the DT
Treasury DT
's DT
threat NN 
to TO 
thrash VB 
the DT
dollar NN 
. . 
 OOV
The DT
Treasury DT
is DT
doing VBG 
the DT
same JJ 
thing NN 
today NN 
; : 
thankfully OOV
, , 
the DT
dollar NN 
is DT
not RB 
under DT
1987-style OOV
pressure DT
. . 
 OOV
Also RB 
, , 
traders NNS 
are DT
in DT
better DT
shape DT
today NN 
than DT
in DT
1987 CD 
to TO 
survive DT
selling DT
binges OOV
. . 
 OOV
They PRP 
are DT
better DT
capitalized DT
. . 
 OOV
They PRP 
are DT
in DT
less DT
danger NN 
of DT
losing DT
liquidity NN 
simply DT
because DT
of DT
tape DT
lags VBZ 
and DT
clearing DT
and DT
settlement NN 
delays DT
. . 
 OOV
The DT
Fed NNP 
promises DT
any DT
needed DT
liquidity NN 
. . 
 OOV
The DT
Big DT
Board DT
's DT
liaison OOV
with DT
the DT
Chicago NNP 
Board DT
of DT
Trade NNP 
has DT
improved DT
; : 
it PRP 
will DT
be DT
interesting JJ 
to TO 
learn DT
if IN 
`` `` 
circuit NN 
breakers NNS 
'' '' 
prove DT
to TO 
be DT
a DT
good DT
idea NN 
. . 
 OOV
In DT
any DT
event NN 
, , 
some DT
traders NNS 
see DT
stocks DT
as DT
underpriced OOV
today NN 
, , 
unlike IN 
1987 CD 
. . 
 OOV
There DT
is DT
nothing NN 
wrong DT
with DT
the DT
market DT
that DT
ca MD 
n't RB 
be DT
cured VBN 
by DT
a DT
little DT
coherence NN 
and DT
common DT
sense DT
in DT
Washington NNP 
. . 
 OOV
But DT
on DT
the DT
bearish JJ 
side DT
, , 
that DT
may MD 
be DT
too RB 
much DT
to TO 
expect DT
. . 
 OOV
First DT
Chicago NNP 
Corp. DT
posted DT
a DT
third-quarter DT
loss NN 
of DT
$ $ 
23.3 CD 
million CD 
after DT
joining VBG 
other JJ 
big JJ 
banks NNS 
in DT
further DT
adding VBG 
to TO 
its PRP$ 
reserves DT
for DT
losses NNS 
on DT
foreign JJ 
loans DT
. . 
 OOV
The DT
parent DT
company NN 
of DT
First DT
National DT
Bank DT
of DT
Chicago NNP 
, , 
with DT
$ $ 
48 CD 
billion CD 
in DT
assets NNS 
, , 
said DT
it PRP 
set DT
aside DT
$ $ 
200 CD 
million CD 
to TO 
absorb DT
losses NNS 
on DT
loans DT
and DT
investments NNS 
in DT
financially RB 
troubled DT
countries NNS 
. . 
 OOV
The DT
addition NN 
, , 
on DT
top DT
of DT
two CD 
big JJ 
1987 CD 
additions NNS 
to TO 
foreign-loan OOV
reserves DT
, , 
brings VBZ 
the DT
reserve DT
to TO 
a DT
level DT
equaling VBG 
79 CD 
% DT
of DT
medium-term JJ 
and DT
long-term DT
loans DT
outstanding JJ 
to TO 
troubled DT
nations NNS 
. . 
 OOV
First DT
Chicago NNP 
since DT
1987 CD 
has DT
reduced DT
its PRP$ 
loans DT
to TO 
such DT
nations NNS 
to TO 
$ $ 
1.7 CD 
billion CD 
from IN 
$ $ 
3 DT
billion CD 
. . 
 OOV
Despite IN 
this DT
loss NN 
, , 
First DT
Chicago NNP 
said DT
it PRP 
does VBZ 
n't RB 
need DT
to TO 
sell DT
stock DT
to TO 
raise DT
capital DT
. . 
 OOV
During IN 
the DT
quarter NN 
, , 
the DT
company NN 
realized DT
a DT
pretax DT
gain DT
of DT
$ $ 
60.4 OOV
million CD 
from IN 
the DT
sale NN 
of DT
its PRP$ 
First DT
Chicago NNP 
Investment DT
Advisors DT
unit NN 
. . 
 OOV
Combined DT
foreign JJ 
exchange DT
and DT
bond NN 
trading DT
profits DT
dipped DT
24 CD 
% DT
against IN 
last DT
year NN 
's DT
third DT
quarter NN 
, , 
to TO 
$ $ 
38.2 CD 
million CD 
from IN 
$ $ 
50.5 CD 
million CD 
. . 
 OOV
Gains NNS 
from IN 
First DT
Chicago NNP 
's DT
venture DT
capital DT
unit NN 
, , 
a DT
big JJ 
leveraged DT
buy-out DT
investor NN 
, , 
rose DT
32 CD 
% DT
to TO 
$ $ 
34 CD 
million CD 
from IN 
$ $ 
25.7 CD 
million CD 
a DT
year NN 
ago DT
. . 
 OOV
Interest DT
income NN 
and DT
most DT
fee NN 
income NN 
was VBD 
strong DT
. . 
 OOV
Greece NNP 
's DT
second DT
bout NN 
of DT
general DT
elections NNS 
this DT
year NN 
is DT
slated DT
for DT
Nov. DT
5 CD 
. . 
 OOV
For IN 
those DT 
hoping VBG 
to TO 
see DT
a DT
modicum NN 
of DT
political JJ 
normalcy NN 
restored DT
-- : 
in DT
view DT
of DT
Greece NNP 
's DT
eight-year JJ 
misadventure OOV
under DT
autocratic JJ 
pseudosocialism OOV
and DT
subsequent JJ 
three-month JJ 
hitch NN 
with DT
a DT
conservative-communist OOV
coalition NN 
government NN 
-- : 
there DT
is DT
but DT
one DT
bright JJ 
sign DT
: : 
The DT
scandals NNS 
still DT
encircling VBG 
former DT
Prime DT
Minister NNP 
Andreas NNP 
Papandreou OOV
and DT
his DT
fallen DT
socialist DT
government NN 
are DT
like DT
flies VBZ 
buzzing VBG 
around DT
a DT
rotting VBG 
carcass OOV
. . 
 OOV
In DT
the DT
mid-June NNP 
round DT
of DT
voting DT
, , 
Greeks OOV
gave VBD 
no DT
clear DT
mandate DT
to TO 
any DT
single DT
political JJ 
party NN 
. . 
 OOV
The DT
ad DT
interim DT
coalition NN 
government NN 
that DT
emerged DT
from IN 
post-electoral OOV
hagglings OOV
was VBD 
, , 
in DT
essence NN 
, , 
little DT
more DT
than DT
the DT
ill-conceived JJ 
offspring NN 
of DT
ideological JJ 
miscegenation OOV
: : 
On DT
one DT
side DT
, , 
the DT
center-right JJ 
New DT
Democracy DT
Party DT
, , 
headed DT
by DT
Constantine OOV
Mitsotakis OOV
. . 
 OOV
On DT
the DT
other JJ 
, , 
the DT
so-called DT
Coalition NNP 
of DT
the DT
Left DT
and DT
Progress DT
-- : 
a DT
quaint OOV
and DT
rather RB 
